Parameter,Parameter Code,,,
Antimony (tsp),12102,,,
Arsenic (tsp),12103,,,
Cadmium (tsp),12110,,,
Chromium (tsp),12112,,,
Cobalt (tsp),12113,,,
Chromium VI,12115,,,
Lead (tsp),12128,,,
Manganese (tsp),12132,,,
Nickel (tsp),12136,,,
Mercury (tsp),12142,,,
Phosphorus (Tsp),12152,,,
Selenium (tsp),12154,,,
Chlorine (Tsp),12191,,,
Chromium VI (LC),14115,,,
Lead (Tsp) Lc Frm/Fem,14129,,,
Naphthalene (total tsp & vapor),17141,,,
Acenaphthene (total tsp & vapor),17147,,,
Acenaphthylene (total tsp & vapor),17148,,,
9H-Fluorene (total tsp & vapor),17149,,,
Phenanthrene (total tsp & vapor),17150,,,
Anthracene (total tsp & vapor),17151,,,
1-Nitropyrene,17153,,,
Fluoranthene (total tsp & vapor),17201,,,
Pyrene (total tsp & vapor),17204,,,
Chrysene (total tsp & vapor),17208,,,
Coronene (total tsp & vapor),17211,,,
Perylene (total tsp & vapor),17212,,,
Benzo(a)anthracene (total tsp & vapor),17215,,,
Benzo[B]Fluoranthene (total tsp & vapor),17220,,,
Benzo[K]Fluoranthene (total tsp & vapor),17223,,,
Benzo[E]Pyrene (total tsp & vapor),17224,,,
"Dibenzo[A,H]Anthracene (total tsp & vapor)",17231,,,
"Benzo[G,H,I]Perylene (total tsp & vapor)",17237,,,
Benzo(a)pyrene (total tsp & vapor),17242,,,
"Indeno[1,2,3-Cd]Pyrene (total tsp & vapor)",17243,,,
Dibenzofuran,18202,,,
Carbon disulfide,42153,,,
"1,3-Butadiene",43218,,,
Hexane,43231,,,
"2,2,4-Trimethylpentane",43250,,,
3-Chloropropene,43335,,,
Methyl tert-butyl ether,43372,,,
Ethyl acrylate,43438,,,
Methyl methacrylate,43441,,,
Formaldehyde,43502,,,
Acetaldehyde,43503,,,
Propanal,43504,,,
Acrolein - verified,43509,,,
4-Methyl-2-pentanone,43560,,,
Acetonitrile,43702,,,
Acrylonitrile,43704,,,
Chloromethane,43801,,,
Methylene chloride,43802,,,
Chloroform,43803,,,
Carbon tetrachloride,43804,,,
Tribromomethane,43806,,,
Chloroethane,43812,,,
"1,1-Dichloroethane",43813,,,
"1,1,1-Trichloroethane",43814,,,
Ethylene dichloride,43815,,,
Tetrachloroethylene,43817,,,
"1,1,2,2-Tetrachloroethane",43818,,,
Bromomethane,43819,,,
"1,1,2-Trichloroethane",43820,,,
Trichloroethylene,43824,,,
"1,1-Dichloroethylene",43826,,,
"1,2-Dichloropropane",43829,,,
"Trans-1,3-Dichloropropylene",43830,,,
"Cis-1,3-Dichloropropylene",43831,,,
"2-Chloro-1,3-butadiene",43835,,,
"1,2-Dibromoethane",43843,,,
"Hexachloro-1,3-butadiene",43844,,,
Vinyl chloride,43860,,,
M/P Xylene,45109,,,
Benzene,45201,,,
Toluene,45202,,,
Ethylbenzene,45203,,,
o-Xylene,45204,,,
p-Xylene,45206,,,
Styrene,45220,,,
Chlorobenzene,45801,,,
p-Dichlorobenzene,45807,,,
alpha-Chlorotoluene,45809,,,
"1,2,4-Trichlorobenzene",45810,,,
Arsenic (Pm10),82103,,,
Beryllium (Pm10),82105,,,
Cadmium (Pm10),82110,,,
Chromium (Pm10),82112,,,
Cobalt (Pm10),82113,,,
Lead (Pm10),82128,,,
Manganese (Pm10),82132,,,
Nickel (Pm10),82136,,,
Mercury (Pm10),82142,,,
Selenium (Pm10),82154,,,
Antimony Pm10 Lc,85102,,,
Arsenic Pm10 Lc,85103,,,
Beryllium Pm10 Lc,85105,,,
Cadmium Pm10 Lc,85110,,,
Chromium Pm10 Lc,85112,,,
Cobalt Pm10 Lc,85113,,,
Lead Pm10 Lc,85128,,,
Lead Pm10 Lc Frm/Fem,85129,,,
Manganese Pm10 Lc,85132,,,
Nickel Pm10 Lc,85136,,,
Mercury Pm10 Lc,85142,,,
Selenium Pm10 Lc,85154,,,
Uranium Pm10 Lc,85179,,,
Antimony (PM2.5),88102,,,
Arsenic (PM2.5),88103,,,
Cadmium (PM2.5),88110,,,
Chromium (PM2.5),88112,,,
Cobalt (PM2.5),88113,,,
Chlorine Pm2.5 Lc,88115,,,
Lead (PM2.5),88128,,,
Manganese (PM2.5),88132,,,
Nickel (PM2.5),88136,,,
Mercury (PM2.5),88142,,,
Phosphorus Pm2.5 Lc,88152,,,
Selenium Pm2.5 Lc,88154,,,
